Siparis_ID,Musteri_ID,Urun_ID,Siparis_Tarihi,Adet
5001,M061,U020,2023-09-24,3
5002,M057,U020,2023-07-15,2
5003,M055,U011,2023-10-22,3
5004,M059,U013,2023-07-20,1
5005,M056,U005,2023-06-11,1
5006,M082,U007,2023-10-24,2
5007,M047,U018,2023-09-05,1
5008,M078,U002,2023-07-13,2
5009,M029,U002,2023-10-27,1
5010,M013,U019,2023-09-01,1
5011,M039,U002,2023-09-10,3
5012,M098,U014,2023-06-20,2
5013,M098,U007,2023-10-04,1
5014,M022,U013,2023-09-28,2
5015,M005,U006,2023-07-16,3
5016,M091,U014,2023-07-10,3
5017,M083,U013,2023-06-25,2
5018,M016,U008,2023-06-28,2
5019,M093,U010,2023-08-14,3
5020,M084,U004,2023-08-28,3
5021,M080,U016,2023-08-02,3
5022,M038,U001,2023-07-11,3
5023,M050,U008,2023-06-25,3
5024,M082,U016,2023-06-26,3
5025,M052,U019,2023-07-26,2
5026,M046,U003,2023-07-19,3
5027,M072,U017,2023-06-07,1
5028,M052,U002,2023-06-05,3
5029,M056,U011,2023-07-16,3
5030,M007,U012,2023-08-23,3
5031,M061,U006,2023-06-05,1
5032,M017,U010,2023-07-22,1
5033,M032,U013,2023-10-18,3
5034,M077,U014,2023-10-20,1
5035,M017,U001,2023-07-02,1
5036,M008,U006,2023-07-02,3
5037,M050,U003,2023-06-04,3
5038,M056,U006,2023-09-16,1
5039,M071,U006,2023-06-14,3
5040,M049,U019,2023-09-26,2
5041,M043,U006,2023-06-09,2
5042,M081,U015,2023-10-04,3
5043,M092,U012,2023-06-19,1
5044,M034,U009,2023-07-16,1
5045,M059,U001,2023-07-10,2
5046,M011,U017,2023-08-18,1
5047,M099,U004,2023-10-16,1
5048,M037,U020,2023-08-25,1
5049,M074,U009,2023-10-11,2
5050,M066,U005,2023-06-16,3
5051,M008,U020,2023-06-16,3
5052,M028,U018,2023-06-04,1
5053,M019,U010,2023-09-16,1
5054,M004,U012,2023-10-11,3
5055,M091,U004,2023-10-01,2
5056,M060,U015,2023-07-15,3
5057,M019,U001,2023-09-12,3
5058,M020,U015,2023-07-16,2
5059,M065,U016,2023-07-10,1
5060,M063,U019,2023-09-08,1
5061,M061,U009,2023-07-25,2
5062,M067,U012,2023-10-23,3
5063,M049,U005,2023-08-21,3
5064,M041,U005,2023-06-15,2
5065,M007,U011,2023-10-14,3
5066,M007,U013,2023-06-21,3
5067,M093,U002,2023-07-03,1
5068,M002,U012,2023-09-20,1
5069,M085,U016,2023-10-23,3
5070,M093,U003,2023-06-27,1
5071,M047,U015,2023-09-18,2
5072,M023,U005,2023-09-11,3
5073,M090,U018,2023-07-20,3
5074,M096,U008,2023-07-10,2
5075,M028,U017,2023-10-04,3
5076,M085,U013,2023-07-19,1
5077,M069,U005,2023-10-16,1
5078,M010,U013,2023-09-25,1
5079,M027,U001,2023-09-25,1
5080,M086,U006,2023-09-02,2
5081,M081,U007,2023-08-03,2
5082,M039,U019,2023-08-06,1
5083,M008,U016,2023-09-15,2
5084,M044,U001,2023-08-23,3
5085,M038,U017,2023-10-29,1
5086,M053,U010,2023-09-26,1
5087,M015,U014,2023-09-18,1
5088,M016,U015,2023-07-12,1
5089,M049,U018,2023-06-21,1
5090,M067,U018,2023-08-06,3
5091,M062,U003,2023-09-16,1
